day_number,title
Gün 1,Ürün araştırmaya başla
Gün 1,Bulduğun ürünleri listele (min 3 kriterlere uygun ürün)
Gün 2,Rakip analizi
Gün 2,Öncelik sıralaması
Gün 2,İlk ürünün Shopify mağazasını oluştur
Gün 2,Ürünle/nişle ilgili veya genel domain al
Gün 2,Roasell Temayı yükle
Gün 2,Ürünü ekle
Gün 2,Başabaş ROAS’ı hesaplayın
Gün 2,Satış fiyatını ayarlayın
Gün 2,Şirket kurulum işlerini başlatın
Gün 2,Tema rengini belirle
Gün 3,Logoyu üret / Düz yazı olabilir
Gün 3,Ürün görsellerini oluştur / Renk paletini kullan
Gün 3,Ürününüzün ana sayfasını hazırlamaya başlayın
Gün 3,Ürününüzün ürün sayfasını hazırlamaya başlayın
Gün 4,Kaching bundles'ı kur / Teklifini oluştur
Gün 4,Yasal sayfaları ayarlayın
Gün 4,Üst menü ve alt menü (footer)'yü ayarlayın
Gün 4,Ödeme altyapısını kurun
Gün 4,Mağazanın sosyal medya hesaplarını açın
Gün 4,"Bio, isim ve website linki alanlarını doldurun"
Gün 5,Instagram’da öne çıkanları tamamlayın.
Gün 5,“Sizden gelenler” bölümünü ayarla
Gün 6,Hedef kitle analizi ve Marketing Angles
Gün 6,Rakiplerinizdeki en az 2 haftadır çalışan kreatifleri toplayın
Gün 7,İşletme hesabınızın kurulumunu yapın
Gün 7,Reklam hesabınızın kurulumunu yapın
Gün 7,“Instagram Accounts” kısmından Instagram hesabınızı bağlayın
Gün 7,“Pages” kısmından Facebook sayfasını oluşturun
Gün 7,“Varlık bağla” kısmından Instagram hesabınızı Facebook ile bağlayın
Gün 7,Piksel kurulumunu yapın
Gün 7,“Data Sources” kısmından Pikselinizi oluşturun ve Shopify ile bağlayın
Gün 7,Reklamı yarın gece 00.00’da aktifleşecek şekilde yayınlayın
Gün 8,En az 3 kreatif daha üretin
Gün 8,Reklamlarınızı analiz edin
Gün 9,Ürünle/nişle ilgili veya genel domain al
Gün 9,Temayı yükle
Gün 9,Ürünü ekle
Gün 9,Break Even ROAS’ı hesaplayın
Gün 9,Satış fiyatını ayarlayın
Gün 9,Tema rengini belirle
Gün 10,Logoyu üret / Düz yazı olabilir
Gün 10,Ürün görsellerini oluştur / Renk paletini kullan
Gün 10,Ürününüzün ana sayfasını hazırlamaya başlayın
Gün 10,Ürününüzün ürün sayfasını hazırlamaya başlayın
Gün 11,Kaching bundles'ı kur / Teklifini oluştur
Gün 11,Yasal sayfaları ayarlayın
Gün 11,Üst menü ve alt menü (footer)'yü ayarlayın
Gün 11,Ödeme altyapısını kurun (şirketiniz kurulduktan sonra bunu yapabilirsiniz)
Gün 11,"Mağazanın sosyal medya hesaplarını açın (Instagram, TikTok (opsiyonel))"
Gün 11,"Bio, isim ve website linki alanlarını doldurun"
Gün 12,Instagram’da öne çıkanları tamamlayın. Öne çıkanlar sayfanın dolu dolu gözükmesini sağlar:
Gün 12,“Sizden gelenler” bölümü - Müşteri yorumlarının ve WhatsApp konuşmalarının ss olarak paylaşıldığı bölüm
Gün 12,"“Sipariş Ver” öne çıkan hikayesi koyun, orada da sadece bir tasarım ve sitenize yönlendiren link koyabilirsiniz"
Gün 12," Ürününüzle ilgili bir “Öne Çıkanlar” bölümü (eğer uygunsa, “nasıl kullanılır”, “ne işe yarar” gibi bölümler"
Gün 13, Instagram hesabınıza takipçi satın alın (minimum 3.000)
Gün 13,Hedef kitle analizi ve Marketing Angles dökümanını hazırlayın
Gün 13,Yurt dışındaki (hedef pazarınızda olmayan) rakiplerinizdeki en az 2 haftadır çalışan kreatifleri toplayın
Gün 13,Bu kreatifleri hedef pazarınızdaki dile çevirerek ilk kreatiflerinizi hazırlayın
Gün 14,“Instagram Accounts” kısmından Instagram hesabınızı bağlayın
Gün 14,“Pages” kısmından Facebook sayfasını oluşturun
Gün 14,“Varlık bağla” kısmından Instagram hesabınızı Facebook ile bağlayın
Gün 14,Piksel kurulumunu yapın
Gün 14,“Data Sources” kısmından Pikselinizi oluşturun ve Shopify ile bağlayın
Gün 14,Reklamı yarın gece 00.00’da aktifleşecek şekilde yayınlayın
Gün 15,En az 3 kreatif daha üretin
Gün 15,Reklamlarınızı analiz edin